sample_accession	sample_description	description	study_accession
SAMN31463709	16S rRNA	16S rRNA	PRJNA894544
SAMN31463710	16S rRNA	16S rRNA	PRJNA894544
SAMN31463714	16S rRNA	16S rRNA	PRJNA894544
SAMN31463717	16S rRNA	16S rRNA	PRJNA894544
SAMN31463718	16S rRNA	16S rRNA	PRJNA894544
SAMN31463720	16S rRNA	16S rRNA	PRJNA894544
SAMN31463721	16S rRNA	16S rRNA	PRJNA894544
SAMN31463722	16S rRNA	16S rRNA	PRJNA894544
SAMN31463723	16S rRNA	16S rRNA	PRJNA894544
SAMN31463724	16S rRNA	16S rRNA	PRJNA894544
SAMN31463731	16S rRNA	16S rRNA	PRJNA894544
SAMN31463733	16S rRNA	16S rRNA	PRJNA894544
SAMN31463735	16S rRNA	16S rRNA	PRJNA894544
SAMN31463736	16S rRNA	16S rRNA	PRJNA894544
SAMN31463737	16S rRNA	16S rRNA	PRJNA894544
SAMN31463738	16S rRNA	16S rRNA	PRJNA894544
SAMN31463739	16S rRNA	16S rRNA	PRJNA894544
SAMN31463740	16S rRNA	16S rRNA	PRJNA894544
SAMN31463741	16S rRNA	16S rRNA	PRJNA894544
SAMN31463743	16S rRNA	16S rRNA	PRJNA894544
SAMN31463744	16S rRNA	16S rRNA	PRJNA894544
SAMN31463746	16S rRNA	16S rRNA	PRJNA894544
SAMN31463748	16S rRNA	16S rRNA	PRJNA894544
SAMN31463753	16S rRNA	16S rRNA	PRJNA894544
SAMN31463768	16S rRNA	16S rRNA	PRJNA894544
SAMN31463769	16S rRNA	16S rRNA	PRJNA894544
SAMN31463776	16S rRNA	16S rRNA	PRJNA894544
SAMN31463778	16S rRNA	16S rRNA	PRJNA894544
SAMN31463780	16S rRNA	16S rRNA	PRJNA894544
SAMN31463781	16S rRNA	16S rRNA	PRJNA894544
SAMN31463783	16S rRNA	16S rRNA	PRJNA894544
SAMN31463786	16S rRNA	16S rRNA	PRJNA894544
SAMN31463795	16S rRNA	16S rRNA	PRJNA894544
SAMN31463797	16S rRNA	16S rRNA	PRJNA894544
SAMN31463798	16S rRNA	16S rRNA	PRJNA894544
SAMN31463802	16S rRNA	16S rRNA	PRJNA894544
SAMN31463803	16S rRNA	16S rRNA	PRJNA894544
SAMN31463808	16S rRNA	16S rRNA	PRJNA894544
SAMN31463809	16S rRNA	16S rRNA	PRJNA894544
SAMN31463813	16S rRNA	16S rRNA	PRJNA894544
SAMN31463815	16S rRNA	16S rRNA	PRJNA894544
SAMN31463816	16S rRNA	16S rRNA	PRJNA894544
